"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"American Samoa","ASM","Surface area (sq. km)","AG.SRF.TOTL.K2","","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","",
"Antigua and Barbuda","ATG","Surface area (sq. km)","AG.SRF.TOTL.K2","","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","",
"Australia","AUS","Surface area (sq. km)","AG.SRF.TOTL.K2","","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","",
"Austria","AUT","Surface area (sq. km)","AG.SRF.TOTL.K2","","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","",
"Azerbaijan","AZE","Surface area (sq. km)","AG.SRF.TOTL.K2","","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","",
"Burundi","BDI","Surface area (sq. km)","AG.SRF.TOTL.K2","","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","",
"Belgium","BEL","Surface area (sq. km)","AG.SRF.TOTL.K2","","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","30530","30530","30530","30530","30530","30530","30530","30530","30530","30530","30530","30530","30530","30530","30530","30530","30530","30530","30530","30530","30530","",
"Benin","BEN","Surface area (sq. km)","AG.SRF.TOTL.K2","","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","",
"Burkina Faso","BFA","Surface area (sq. km)","AG.SRF.TOTL.K2","","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","",
"Bangladesh","BGD","Surface area (sq. km)","AG.SRF.TOTL.K2","","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","147630","147630","147630","147977","147570","147570","147570","",
